Account,Date,Position Type,Amount,Currency,Portfolio,Product Class
HOUSE-002,2025-10-09,VM,-25000.00,USD,CREDIT_PORTFOLIO,CDS
HOUSE-002,2025-10-09,IM,350000.00,USD,CREDIT_PORTFOLIO,CDS
HOUSE-002,2025-10-09,EXCESS,75000.00,USD,CREDIT_PORTFOLIO,CDS
HOUSE-002,2025-10-09,VM,12000.00,EUR,RATES_PORTFOLIO,IRS
HOUSE-002,2025-10-09,IM,180000.00,EUR,RATES_PORTFOLIO,IRS
HOUSE-002,2025-10-09,VM,-8500.00,GBP,EQUITY_PORTFOLIO,EQD
HOUSE-002,2025-10-09,IM,95000.00,GBP,EQUITY_PORTFOLIO,EQD
HOUSE-002,2025-10-09,EXCESS,15000.00,GBP,EQUITY_PORTFOLIO,EQD
CLIENT-007,2025-10-09,VM,5000.00,USD,CLIENT_SEGREGATED,CDS
CLIENT-007,2025-10-09,IM,125000.00,USD,CLIENT_SEGREGATED,CDS
